date,strategy_return,beta_Mkt-RF,beta_SMB,beta_HML,beta_RMW,beta_CMA,beta_PR_uniform_excl,beta_const
2019-12-31,-0.0307740908433937,1.40822618238404,0.3201981785389617,-0.5886528679951901,-1.1430540425884306,0.4437032432763076,0.18163152842343513,-0.00020614130767673995
2020-01-31,-0.08472316576551603,1.3758566107822263,0.29335504999654516,-0.5966099477493831,-1.136706286871873,0.3565238278564315,0.16043943241859193,-0.001856131212069719
2020-02-29,0.08809540793116191,1.3660602329165634,0.45803180265806315,-0.47428855756336824,-0.9008678372468446,0.3443890341366043,0.18924276793901162,-0.0009978463599896
2020-03-31,0.0755107917892689,1.2094213805221505,0.5594293647256477,-0.42589617938023444,-1.0123286426641729,0.11696583586479803,0.2094950112985386,0.0017290301417060292
2020-04-30,-0.0006007531522518039,1.198977814619177,0.5261866231347525,-0.607658873825121,-1.0532880790746004,0.32148647387289087,0.20632688172961647,0.0011939761805060192
2020-05-31,0.00019033044357200102,1.191741528131825,0.5185919708340924,-0.5973763813650365,-1.0740906228854923,0.31044737823608876,0.20512986362233787,0.0011487254521555194
2020-06-30,-0.03714997946807788,1.2243730249719094,0.4583499430476705,-0.6067210950790289,-0.952226803964461,0.1594697170839564,0.2514894831181526,0.0037983079778881584
2020-07-31,-0.08214501942230987,1.2197087433253813,0.40480607622040454,-0.6462978468340551,-0.7321058432704179,0.13685284560500488,0.24090962484695252,0.0005344373799039594
2020-08-31,-0.0671030878685792,1.220857771775354,0.40327790685489034,-0.6578816851935236,-0.7214320066832693,0.15537654889584906,0.23309276888538877,0.0001647796962434729
2020-09-30,0.019787507748784173,1.2540301327445733,0.4275881337928936,-0.6530860633002684,-0.9868264301430417,0.36172433775414636,0.2522536919329143,-0.0008489793014164193
2020-10-31,-0.010766347093754979,1.2361941330678874,0.4825474698168255,-0.6381065312251325,-1.0576992718290392,0.3685033954790743,0.24592867501025978,0.0008016400142999824
2020-11-30,-0.09215571297749332,1.2441559796431134,0.4560165674776102,-0.6465143413552509,-1.0506190259650132,0.3613277372918101,0.24430913509028776,0.00020031144695030131
2020-12-31,-0.05320908899933413,1.1766777060384699,0.3230311371181284,-0.5822665605550196,-0.9077775260531016,0.0986340523508048,0.24403119823287056,-0.001468354498469519
2021-01-31,0.029228669131611,1.1756651514209957,0.2655071919729214,-0.5430833733597233,-0.9035426100637247,-0.022528101117734678,0.2505624350257193,-0.0025479975322792205
2021-02-28,-0.02365259795760345,1.1356159424131966,0.43617458101590956,-0.6151421830969401,-0.8195044005264329,0.20033301747419546,0.25086206398481825,-0.0025811168794860513
