date,PR_uniform_excl,n_long,n_short,long_return,short_return
2023-02-28,0.0633847969633527,29,29,-0.05441980619969882,-0.11780460316305152
2023-03-31,0.0014839894084063415,29,25,-0.03431294155052192,-0.03579693095892826
2023-04-30,0.06103429288875509,30,30,0.059919254897451715,-0.0011150379913033724
2023-05-31,-0.11408794352154075,30,30,0.014528728946473944,0.1286166724680147
2023-06-30,-0.07636987807885381,32,27,-0.010843356896197616,0.0655265211826562
2023-07-31,-0.009550322674404425,32,30,0.0005889844133727985,0.010139307087777223
2023-08-31,0.08927638467808724,32,34,0.01076609627096713,-0.07851028840712011
2023-09-30,0.1318298037738683,31,30,-0.006618239866872094,-0.1384480436407404
2023-10-31,0.14195319261519201,31,29,-0.033177164726216596,-0.1751303573414086
2023-11-30,-0.08194521521934137,32,30,0.0728357481099855,0.15478096332932686
2023-12-31,-0.07386226670031176,32,30,0.2087573713342798,0.28261963803459156
2024-01-31,-0.12366977575233525,32,27,-0.01295914919707715,0.1107106265552581
2024-02-29,-0.5298215171747177,32,28,0.08267347840734451,0.6124949955820622
2024-03-31,-0.020561733818604898,32,33,-0.04904359331325477,-0.028481859494649875
2024-04-30,-0.048601985493883185,32,31,-0.07471928975109934,-0.026117304257216156
2024-05-31,0.01382851366045712,32,30,0.03481888277256108,0.02099036911210396
2024-06-30,0.15819847212201085,32,32,0.07699071988711398,-0.08120775223489687
2024-07-31,-0.1478936291436307,32,33,0.061065995766194266,0.20895962490982495
2024-08-31,-0.02211394215689557,32,31,0.010822611335640414,0.032936553492535985
2024-09-30,0.005800988332461628,32,31,-0.03050231645491592,-0.03630330478737755
2024-10-31,-0.030984322828381518,32,32,0.01174533523590413,0.04272965806428565
2024-11-30,0.04528883248474688,33,38,0.044654317988875716,-0.000634514495871168
2024-12-31,0.08198416179869544,33,37,-0.09171842706906852,-0.17370258886776396
