iShares Biotechnology ETF
Fund Holdings as of,"Apr 13, 2026"
Inception Date,"Feb 05, 2001"
Shares Outstanding,"48,350,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"ANAB","ANAPTYSBIO INC","Health Care","Equity","13,260,491.28","0.16","13,260,491.28","192,936.00","68.73","United States","NASDAQ","USD","1.00","USD","-"
"ZLAB","ZAI LABORATORY ADR REPRESENTING LT","Health Care","Equity","13,151,820.66","0.16","13,151,820.66","616,299.00","21.34","China","NASDAQ","USD","1.00","USD","-"
"VCEL","VERICEL CORP","Health Care","Equity","12,916,859.76","0.16","12,916,859.76","375,054.00","34.44","United States","NASDAQ","USD","1.00","USD","-"
"GRAL","GRAIL INC","Health Care","Equity","12,592,677.16","0.15","12,592,677.16","262,129.00","48.04","United States","NASDAQ","USD","1.00","USD","-"
"DAWN","DAY ONE BIOPHARMACEUTICALS INC","Health Care","Equity","12,489,579.69","0.15","12,489,579.69","581,181.00","21.49","United States","NASDAQ","USD","1.00","USD","-"
"ALMS","ALUMIS INC","Health Care","Equity","11,993,296.24","0.14","11,993,296.24","532,562.00","22.52","United States","NASDAQ","USD","1.00","USD","-"
"MLYS","MINERALYS THERAPEUTICS INC","Health Care","Equity","11,990,488.16","0.14","11,990,488.16","441,476.00","27.16","United States","NASDAQ","USD","1.00","USD","-"
"NTLA","INTELLIA THERAPEUTICS INC","Health Care","Equity","11,961,416.34","0.14","11,961,416.34","838,809.00","14.26","United States","NASDAQ","USD","1.00","USD","-"
"RXRX","RECURSION PHARMACEUTICALS INC CLAS","Health Care","Equity","11,744,543.34","0.14","11,744,543.34","3,434,077.00","3.42","United States","NASDAQ","USD","1.00","USD","-"
"STOK","STOKE THERAPEUTICS INC","Health Care","Equity","11,659,873.20","0.14","11,659,873.20","332,664.00","35.05","United States","NASDAQ","USD","1.00","USD","-"
"NRIX","NURIX THERAPEUTICS INC","Health Care","Equity","11,516,358.04","0.14","11,516,358.04","723,844.00","15.91","United States","NASDAQ","USD","1.00","USD","-"
"AMLX","AMYLYX PHARMACEUTICALS INC","Health Care","Equity","11,370,822.12","0.14","11,370,822.12","690,396.00","16.47","United States","NASDAQ","USD","1.00","USD","-"
"TYRA","TYRA BIOSCIENCES INC","Health Care","Equity","9,745,845.72","0.12","9,745,845.72","273,606.00","35.62","United States","NASDAQ","USD","1.00","USD","-"
"NVAX","NOVAVAX INC","Health Care","Equity","9,423,219.86","0.11","9,423,219.86","1,161,926.00","8.11","United States","NASDAQ","USD","1.00","USD","-"
"BHVN","BIOHAVEN LTD","Health Care","Equity","9,324,072.12","0.11","9,324,072.12","921,351.00","10.12","United States","NYSE","USD","1.00","USD","-"
"IOVA","IOVANCE BIOTHERAPEUTICS INC","Health Care","Equity","9,099,485.14","0.11","9,099,485.14","2,629,909.00","3.46","United States","NASDAQ","USD","1.00","USD","-"
"IMCR","IMMUNOCORE HOLDINGS ADR PLC","Health Care","Equity","8,759,265.39","0.11","8,759,265.39","278,337.00","31.47","United Kingdom","NASDAQ","USD","1.00","USD","-"
"WVE","WAVE LIFE SCIENCES LTD","Health Care","Equity","8,574,626.28","0.10","8,574,626.28","1,181,078.00","7.26","United States","NASDAQ","USD","1.00","USD","-"
"NUVB","NUVATION BIO INC CLASS A","Health Care","Equity","8,475,773.20","0.10","8,475,773.20","1,803,356.00","4.70","United States","NYSE","USD","1.00","USD","-"
"ATAI","ATAIBECKLEY INC","Health Care","Equity","8,220,688.13","0.10","8,220,688.13","2,169,047.00","3.79","United States","NASDAQ","USD","1.00","USD","-"
"NVCR","NOVOCURE LTD","Health Care","Equity","8,215,518.56","0.10","8,215,518.56","766,373.00","10.72","United States","NASDAQ","USD","1.00","USD","-"
"GRFS","GRIFOLS ADR REPRESENTING ONE NON-V","Health Care","Equity","8,194,647.56","0.10","8,194,647.56","980,221.00","8.36","Spain","NASDAQ","USD","1.00","USD","-"
"TRVI","TREVI THERAPEUTICS INC","Health Care","Equity","8,144,803.29","0.10","8,144,803.29","611,013.00","13.33","United States","NASDAQ","USD","1.00","USD","-"
"OLMA","OLEMA PHARMACEUTICALS INC","Health Care","Equity","8,002,785.96","0.10","8,002,785.96","502,372.00","15.93","United States","NASDAQ","USD","1.00","USD","-"
"GERN","GERON CORP","Health Care","Equity","7,840,129.91","0.09","7,840,129.91","4,531,867.00","1.73","United States","NASDAQ","USD","1.00","USD","-"
"GLPG","GALAPAGOS ADR REPRESENTING NV","Health Care","Equity","7,797,594.00","0.09","7,797,594.00","273,025.00","28.56","Belgium","NASDAQ","USD","1.00","USD","-"
"SION","SIONNA THERAPEUTICS INC","Health Care","Equity","7,763,748.13","0.09","7,763,748.13","185,869.00","41.77","United States","NASDAQ","USD","1.00","USD","-"
"RAPP","RAPPORT THERAPEUTICS INC","Health Care","Equity","7,576,672.95","0.09","7,576,672.95","218,663.00","34.65","United States","NASDAQ","USD","1.00","USD","-"
"VIR","VIR BIOTECHNOLOGY INC","Health Care","Equity","7,546,052.92","0.09","7,546,052.92","810,532.00","9.31","United States","NASDAQ","USD","1.00","USD","-"
"QURE","UNIQURE NV","Health Care","Equity","7,444,308.48","0.09","7,444,308.48","415,419.00","17.92","United States","NASDAQ","USD","1.00","USD","-"
"TSHA","TAYSHA GENE THERAPIES INC","Health Care","Equity","7,421,763.44","0.09","7,421,763.44","1,679,132.00","4.42","United States","NASDAQ","USD","1.00","USD","-"
"CRVS","CORVUS PHARMACEUTICALS INC","Health Care","Equity","7,210,209.98","0.09","7,210,209.98","475,294.00","15.17","United States","NASDAQ","USD","1.00","USD","-"
"MESO","MESOBLAST ADR REPRESENTING LTD","Health Care","Equity","6,792,208.50","0.08","6,792,208.50","462,055.00","14.70","Australia","NASDAQ","USD","1.00","USD","-"
"MBX","MBX BIOSCIENCES INC","Health Care","Equity","6,576,009.87","0.08","6,576,009.87","200,427.00","32.81","United States","NASDAQ","USD","1.00","USD","-"
"FTRE","FORTREA HOLDINGS INC","Health Care","Equity","6,527,889.06","0.08","6,527,889.06","695,937.00","9.38","United States","NASDAQ","USD","1.00","USD","-"
"ABCL","ABCELLERA BIOLOGICS INC","Health Care","Equity","6,365,552.52","0.08","6,365,552.52","1,739,222.00","3.66","Canada","NASDAQ","USD","1.00","USD","-"
"XNCR","XENCOR INC","Health Care","Equity","6,220,914.21","0.07","6,220,914.21","515,403.00","12.07","United States","NASDAQ","USD","1.00","USD","-"
"GLUE","MONTE ROSA THERAPEUTICS INC","Health Care","Equity","6,105,118.50","0.07","6,105,118.50","347,870.00","17.55","United States","NASDAQ","USD","1.00","USD","-"
"BCAX","BICARA THERAPEUTICS INC","Health Care","Equity","6,085,422.54","0.07","6,085,422.54","274,861.00","22.14","United States","NASDAQ","USD","1.00","USD","-"
"INBX","INHIBRX BIOSCIENCES INC","Health Care","Equity","5,898,656.46","0.07","5,898,656.46","76,151.00","77.46","United States","NASDAQ","USD","1.00","USD","-"
"JANX","JANUX THERAPEUTICS INC","Health Care","Equity","5,870,316.90","0.07","5,870,316.90","393,981.00","14.90","United States","NASDAQ","USD","1.00","USD","-"
"TBPH","THERAVANCE BIOPHARMA INC","Health Care","Equity","5,859,546.00","0.07","5,859,546.00","355,124.00","16.50","United States","NASDAQ","USD","1.00","USD","-"
"MNKD","MANNKIND CORP","Health Care","Equity","5,830,506.00","0.07","5,830,506.00","2,208,525.00","2.64","United States","NASDAQ","USD","1.00","USD","-"
"URGN","UROGEN PHARMA LTD","Health Care","Equity","5,825,004.12","0.07","5,825,004.12","287,229.00","20.28","United States","NASDAQ","USD","1.00","USD","-"
"CDNA","CAREDX INC","Health Care","Equity","5,710,250.70","0.07","5,710,250.70","339,290.00","16.83","United States","NASDAQ","USD","1.00","USD","-"
"ANNX","ANNEXON INC","Health Care","Equity","5,559,286.88","0.07","5,559,286.88","956,848.00","5.81","United States","NASDAQ","USD","1.00","USD","-"
"KURA","KURA ONCOLOGY INC","Health Care","Equity","5,502,851.92","0.07","5,502,851.92","631,061.00","8.72","United States","NASDAQ","USD","1.00","USD","-"
"ANRO","ALTO NEUROSCIENCE INC","Health Care","Equity","5,499,195.75","0.07","5,499,195.75","213,561.00","25.75","United States","NYSE","USD","1.00","USD","-"
"GHRS","GH RESEARCH PLC","Health Care","Equity","5,482,887.00","0.07","5,482,887.00","335,550.00","16.34","Ireland","NASDAQ","USD","1.00","USD","-"
"MAZE","MAZE THERAPEUTICS INC","Health Care","Equity","5,449,999.20","0.07","5,449,999.20","198,760.00","27.42","United States","NASDAQ","USD","1.00","USD","-"
"KALV","KALVISTA PHARMACEUTICALS INC","Health Care","Equity","5,447,352.12","0.07","5,447,352.12","278,068.00","19.59","United States","NASDAQ","USD","1.00","USD","-"
"AVBP","ARRIVENT BIOPHARMA INC","Health Care","Equity","5,413,669.62","0.07","5,413,669.62","202,078.00","26.79","United States","NASDAQ","USD","1.00","USD","-"
"PHVS","PHARVARIS N V NV","Health Care","Equity","5,374,176.68","0.06","5,374,176.68","192,761.00","27.88","Netherlands","NASDAQ","USD","1.00","USD","-"
"STVN","STEVANATO GROUP","Health Care","Equity","5,136,367.11","0.06","5,136,367.11","371,931.00","13.81","Italy","NYSE","USD","1.00","USD","-"
"CSTL","CASTLE BIOSCIENCES INC","Health Care","Equity","5,096,245.05","0.06","5,096,245.05","216,585.00","23.53","United States","NASDAQ","USD","1.00","USD","-"
"SLDB","SOLID BIOSCIENCES INC","Health Care","Equity","5,012,882.37","0.06","5,012,882.37","597,483.00","8.39","United States","NASDAQ","USD","1.00","USD","-"
"ABUS","ARBUTUS BIOPHARMA CORP","Health Care","Equity","4,912,286.41","0.06","4,912,286.41","1,124,093.00","4.37","United States","NASDAQ","USD","1.00","USD","-"
"SEPN","SEPTERNA INC","Health Care","Equity","4,707,234.54","0.06","4,707,234.54","201,681.00","23.34","United States","NASDAQ","USD","1.00","USD","-"
"CGEM","CULLINAN THERAPEUTICS INC","Health Care","Equity","4,628,015.25","0.06","4,628,015.25","324,773.00","14.25","United States","NASDAQ","USD","1.00","USD","-"
